sentence,English Translation,Sentence Type,POS Tags,Phrase Structure,Annotated Trees,Unnamed: 6,Unnamed: 7,Unnamed: 8,Notes
?é w?n ti gba à?? náà?,Have they received the authority?,Interrogative,Q PRON AUX VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (ASP ti) (V gba) (NP (N à??) (DET náà)))))) ,,,,Ques
Má ?e parí i??? náà tán.,Do not finish the work completely.,Imperative,NEG AUX VERB NOUN DET ADV,S ? VP,(IP (IP (VP (NEG Má) (V parí) (NP (N i???) (DET náà)) (ASP tán)))) ,,,,—
Mo rò pé ìj? náà ti kó l?.,I think that the church has moved.,Complex,PRON VERB COMP NOUN DET AUX VERB ADV,S ? NP VP CP,(IP (IP (VP (V Mo) (V rò) (CP (C pé) (IP (NP-SBJ (N ìj?) (DET náà)) (ASP ti) (VP (V kó) (V l?))))))) ,,,,Embed
"Bí a ?e ní ìf??, ìf?? náà máa p?? síi.","If we have love, the love will increase.",Complex,CONJ PRON AUX VERB NOUN NOUN DET AUX VERB ADV,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO a)) (VP (V ní) (NP (N ìf??))))) , (IP (NP-SBJ (PRO ìf?? náà)) (VP (FUT máa) (V p??) (ADVP síi))))) ",,,,"Embed, Comp"
?é o f?? j?un báyìí?,Do you want to eat now?,Interrogative,Q PRON VERB VERB ADV,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V f??) (VP (V j?un) (ADVP báyìí)))))) ,,,,Ques
Fi ?p?l? r? ?i???.,Use your brain.,Imperative,VERB NOUN PRON VERB,S ? VP,(IP (IP (VP (V Fi) (NP (N ?p?l?) (PRO r?)) (VP (V ?i???))))) ,,,,—
Mo ní ìrètí pé gbogbo yóò dáa.,I have hope that all will be well.,Complex,PRON VERB NOUN COMP PRON AUX VERB ADJ,S ? NP VP CP,(IP (IP (VP (V Mo) (V ní) (CP (C pé) (IP (NP-SBJ (PRO gbogbo)) (VP (FUT yóò) (V dáa))))))) ,,,,Embed
?e à?ey?rí r? p?? síi.,Increase your success.,Imperative,VERB NOUN PRON ADV,S ? VP,(IP (IP (VP (V ?e) (NP (N à?ey?rí) (PRO r?)) (ADVP p??) (ADVP síi)))) ,,,,—
?é w??n ? gbàdúrà fún ará ìlú?,Are they praying for the citizens?,Interrogative,Q PRON AUX VERB PREP NOUN NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (V ?) (V gbàdúrà) (PP (P fún) (NP (N ará ìlú)))))))) ,,,,Ques
Mo m?? pé o ní agbára.,I know that you have strength.,Complex,PRON VERB COMP PRON VERB NOUN,S ? NP VP CP,(IP (IP (VP (V Mo) (V m??) (CP (C pé) (IP (NP-SBJ (PRO o)) (VP (V ní) (NP (N agbára)))))))) ,,,,Embed
"Bí a ?e j?un dáadáa, ara wa máa dáa.","If we eat well, our body will be fine.",Complex,CONJ PRON AUX VERB ADV NOUN PRON AUX ADJ,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO a)) (VP (V j?un) (ADVP dáadáa)))) , (IP (NP-SBJ (PRO ara wa)) (VP (FUT máa) (V dáa)))) ",,,,"Embed, Comp"
?é ìw? f?? l? sí ìrìnàjò náà?,Do you want to go to the trip?,Interrogative,Q PRON VERB VERB PREP NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ìw?)) (VP (V f??) (VP (V l?) (PP (P sí) (NP (N ìrìnàjò) (DET náà))))))))),,,,Ques
Gbé ìwé náà kal??.,Place the book down.,Imperative,VERB NOUN DET ADV,S ? VP,(IP (VP (V Gbé) (NP (N ìwé) (DET náà)) (VP (V kal??)))),,,,—
Mo rò pé ohun tó ??l?? j?? àkúnya.,I think what happened is a challenge.,Complex,PRON VERB COMP NOUN COMP VERB COP NOUN,S ? NP VP CP,(IP (IP (VP (V Mo) (V rò) (CP (C pé) (IP (NP-SBJ (NP (N ohun) (REL tó) (VP (V ??l??)))) (VP (V j??) (ADJ àkúnya))))))),,,,Embed
Má ?e fi àkókò r?? ?òfò.,Do not waste your time.,Imperative,NEG AUX VERB NOUN PRON VERB,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (V fi) (NP (N àkókò) (PRO r?)) (V ?òfò)))),,,,—
?é w??n ti san owó náà?,Have they paid the money?,Interrogative,Q PRON AUX VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (ASP ti) (V san) (NP (N owó) (DET náà))))))),,,,Ques
Mo ní inú-dídùn pé i??? náà parí.,I am happy that the work ended.,Complex,PRON VERB NOUN COMP NOUN DET VERB,S ? NP VP CP,(IP (IP (VP (V Mo) (V ní) (ADJ inú-dídùn) (CP (C pé) (IP (NP-SBJ (NP (N i???) (DET náà))) (VP (V parí)))))))),,,,Embed
?í ìwé náà kí a lè ka.,Open the book so we can read.,Complex,VERB NOUN DET CONJ PRON AUX VERB,S ? VP CP,(IP (IP (VP (V ?í) (NP (N ìwé) (DET náà)) (CP (C kí) (IP (VP (V a) (V lè) (V ka))))))),,,,Embed
?é ìw? ti k?? orin tuntun?,Have you learned a new song?,Interrogative,Q PRON AUX VERB NOUN ADJ,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ìw?)) (VP (ASP ti) (V k??) (NP (N orin) (ADJ tuntun))))))),,,,Ques
Mo f?? kí o ?e àkíyèsí ohun tí mo s?.,I want you to take note of what I said.,Complex,PRON VERB COMP PRON VERB NOUN NOUN COMP PRON VERB,S ? NP VP CP,(IP (IP (VP (V Mo) (V f??) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V ?e) (NP (N àkíyèsí) (NP ohun) (CP (C tí) (IP (VP (V mo) (V s?)))))))))))),,,,Embed
Má ?e dá mi lóró.,Do not trouble me.,Imperative,NEG AUX VERB PRON PREP NOUN,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (V dá) (NP (PRO mi)) (N lóró)))),,,,—
?é w?n ? ?i??? l??d?? olóyè?,Are they working for the chief?,Interrogative,Q PRON AUX VERB PREP NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w?n)) (VP (V ?) (V ?i???) (PP (P l??d??) (NP (N olóyè)))))))),,,,Ques
Mo m?? pé ìtàn náà dára.,I know that the story is good.,Complex,PRON VERB COMP NOUN DET COP ADJ,S ? NP VP CP,(IP (IP (VP (V Mo) (V m??) (CP (C pé) (IP (NP-SBJ (NP (N ìtàn) (DET náà))) (VP (V dára))))))),,,,Embed
?í àpò r? kí o lè rí owó náà.,Open your bag so you can see the money.,Complex,VERB NOUN PRON CONJ PRON AUX VERB NOUN DET,S ? VP CP,(IP (IP (VP (V ?í) (NP (N àpò) (PRO r?)) (CP (C kí) (IP (VP (V o) (V lè) (V rí) (NP (N owó) (DET náà))))))))),,,,Embed
"Bí a ?e ?i??? p??, a máa b?? sí àsey?rí.","If we work together, we will reach success.",Complex,CONJ PRON AUX VERB ADV PRON AUX VERB PREP NOUN,"S ? CP , S",(IP (CP (C Bí) (IP (NP-SBJ (PRO a)) (VP (V ?e) (ADVP p??) (VP (FUT máa) (V b??) (PP (P sí) (NP (N àsey?rí))))))))),,,,"Embed, Comp"
?é ìw? f?? kí n l? sí ilé ìwé?,Do you want me to go to school?,Interrogative,Q PRON VERB COMP PRON VERB PREP NOUN,S ? Q NP VP CP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ìw?)) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PRO n)) (VP (V l?) (PP (P sí) (NP (N ilé ìwé))))))))))),,,,"Embed, Ques"
Fi agbára r? hàn.,Show your strength.,Imperative,VERB NOUN PRON VERB,S ? VP,(IP (IP (VP (V Fi) (NP (N agbára) (PRO r?)) (VP (V hàn)))))),,,,—
Mo f?? kí gbogbo wa ?i??? p??.,I want all of us to work together.,Complex,PRON VERB COMP PRON PRON VERB ADV,S ? NP VP CP,(IP (IP (VP (V Mo) (V f??) (CP (C kí) (IP (NP-SBJ (PRO gbogbo wa)) (VP (V ?i???) (ADVP p??))))))),,,,Embed
?é w?n ti gba ìyìn náà?,Have they received the praise?,Interrogative,Q PRON AUX VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w?n)) (ASP ti) (VP (V gba) (NP (N ìyìn) (DET náà))))))),,,,Ques
K?? ??k?? tuntun kí o má bà a gbagbé.,Learn something new so you won’t forget it.,Complex,VERB NOUN ADJ CONJ PRON NEG AUX PRON VERB,S ? VP CP,(IP (IP (VP (V K??) (NP (N ??k??) (ADJ tuntun)) (CP (C kí) (IP (VP (NEG Má) (V bà) (NP (PRO a)) (V gbagbé))))))),,,,Embed
Mo l? ilé ìj?sín,I went to church ,Simple,PRON VERB NOUN NOUN,S— NP VP NP NP,(IP (IP (VP (V Mo) (VP (V l?) (PP (P ilé) (N ìj?sín)))))),,,,—
Mo l? sí ilé ìwé lónìí.,I went to school today.,Simple,PRON VERB PREP NOUN NOUN ADV,S ? NP VP,(IP (IP (VP (V Mo) (VP (V l?) (PP (P sí) (NP (N ilé ìwé))) (ADVP lónìí))))),,,,—
?é o ti kà ìwé náà?,Have you read the book?,Interrogative,Q PRON AUX VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (ASP ti) (VP (V kà) (NP (N ìwé) (DET náà))))))),,,,Ques
"?m? náà sun, ó sì j?un.","The child slept, and he ate.",Compound,NOUN DET VERB PRON CONJ VERB,S ? S CONJ S,"(IP (IP (VP (NP-SBJ (N ?m?) (DET náà)) (VP (V sun) (, ó sì) (V j?un)))))",,,,—
"Tí a bá ?i??? takuntakun, a ó rí èso.","If we work hard, we will see results.",Complex,CONJ PRON AUX VERB ADV PRON AUX VERB NOUN,"S ? CP , S","(IP (CP (C Tí) (IP (NP-SBJ (PRO a)) (VP (V bá) (V ?i???) (ADVP takuntakun)))) , (IP (NP-SBJ (PRO a)) (VP (FUT ó) (V rí) (NP (N èso)))))) ",,,,"Embed, Comp"
"? j??w??, dá mi lóhùn.","Please, answer me.",Imperative,IMP VERB PRON,S ? VP,"(IP (IP (VP (V ?) (V j??w??)) (, dá mi lóhùn))))",,,,—
Wo bí òjò ?e ? r??!,See how the rain is falling!,Exclamative,VERB CONJ NOUN AUX AUX VERB,S ? VP,(IP (IP (VP (V Wo) (NP (CP (C bí) (IP (NP-SBJ (N òjò)) (VP (ASP ?) (V r??))))))))),,,,—
Bàbá mi ? kó agbado.,My father is harvesting maize.,Simple,NOUN PRON AUX VERB NOUN,S ? NP VP,(IP (IP (VP (NP-SBJ (N Bàbá mi)) (VP (V ?) (V kó) (NP (N agbado)))))),,,,—
Tál?? ní owó mi?,Who has my money?,Interrogative,WH AUX VERB NOUN PRON,S ? WH VP,(IP (CP (C Tál??) (IP (VP (V ní) (NP (N owó) (PRO mi))))))),,,,—
"Mo rà àjàrà, mo sì fi sínú àpò.","I bought grapes, and I put them in the bag.",Compound,PRON VERB NOUN PRON CONJ PRON VERB PREP NOUN,S ? S CONJ S,"(IP (IP (VP (V Mo) (V rà) (NP (N àjàrà)) (, mo sì) (VP (V fi) (NP (N sínú àpò))))))",,,,—
"Bí mo ?e ? k?? ??k??, mo níf???? r?.","As I am learning, I love you.",Complex,CONJ PRON AUX AUX VERB NOUN PRON VERB PRON,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO mo)) (VP (ASP ?) (V k??) (NP (N ??k??)))) , (IP (NP-SBJ (PRO mo)) (VP (V níf???? (PRO r?)))))))",,,,"Embed, Comp"
K? orúk? r? síb??.,Write your name there.,Imperative,VERB NOUN PRON ADV,S ? VP,(IP (IP (VP (V K??) (NP (N orúk?) (PRO r?)) (VP (V síb??))))),,,,—
?? wo bí ??run ?e ? r??!,Look how the sky is heavy!,Exclamative,VERB CONJ NOUN AUX AUX VERB,S ? VP,(IP (IP (VP (V ??) (V wo) (CP (C bí) (IP (NP-SBJ (N ??run)) (VP (ASP ?) (V r??))))))),,,,—
Mo w? a?? tuntun lónìí.,I wore new clothes today.,Simple,PRON VERB NOUN ADJ ADV,S ? NP VP,(IP (IP (VP (V Mo) (VP (V w?) (NP (N a??) (ADJ tuntun)) (ADVP lónìí))))),,,,—
?é w?n ti padà wá?,Have they returned?,Interrogative,Q PRON AUX VERB VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w?n)) (ASP ti) (VP (V padà) (V wá)))))),,,,Ques
"?r? mi w?lé, ó sì jó.","My friend came in, and he danced.",Compound,NOUN PRON VERB PRON CONJ VERB,S ? S CONJ S,"(IP (IP (VP (NP-SBJ (N ?r? mi)) (, ó sì) (VP (V w?lé) (, ó sì) (V jó))))))",,,,—
"Tí a bá gbà á gb??, a ó gbà á gùn.","If we believe it, we will hold it firm.",Complex,CONJ PRON AUX VERB PRON VERB PRON AUX VERB PRON VERB,"S ? CP , S",(IP (CP (C Tí) (IP (NP-SBJ (PRO a)) (VP (V bá) (V gbà) (NP (PRO á)) (VP (FUT ó) (V gbà) (NP (PRO á) (V gùn))))))),,,,"Embed, Comp"
Fi ìwé náà lé tábìlì.,Place the book on the table.,Imperative,VERB NOUN DET PREP NOUN,S ? VP,(IP (IP (VP (V Fi) (NP (N ìwé) (DET náà)) (VP (V lé) (NP (N tábìlì)))))),,,,—
"?áájú kí o sùn, gbàdúrà.","Before you sleep, pray.",Complex,CONJ PRON VERB VERB,"S ? CP , S","(IP (IP (VP (ADVP ?áájú) (CP (C kí) (IP (VP (V o) (V sùn)))) (, gbàdúrà)))))",,,,"Embed, Comp"
Mo rí ir??là níta.,I saw the moon outside.,Simple,PRON VERB NOUN ADV,S ? NP VP,(IP (IP (VP (V Mo) (VP (V rí) (NP (N ir??là)) (ADVP níta))))),,,,—
Ta ni ? pè ??,Who is calling you?,Interrogative,WH PRON AUX VERB PRON,S ? WH VP,(IP (CP (C Ta) (IP (VP (V ni) (V ?) (V pè) (NP (PRO ?))))))),,,,—
?j?? àtàár?? ni ìp??yà náà ??l??.,"On the ninth day, the tragedy happened.",Simple,NOUN NUM CONJ NOUN DET VERB,S ? NP VP,(IP (IP (NP-SBJ (N ?j??) (ADJP àtàár??)) (VP (V ni) (NP (N ìp??yà) (DET náà)) (VP (V ??l??))))),,,,—
Ilé ìj?ba kede àtún?e tuntun fún ìlera.,The government announced new reforms for health.,Simple,NOUN NOUN VERB NOUN ADJ PREP NOUN,S ? NP VP,(IP (IP (VP (NP-SBJ (N Ilé ìj?ba)) (VP (V kede) (NP (N àtún?e) (ADJ tuntun)) (PP (P fún) (NP (N ìlera))))))),,,,—
?é o gb?? ìròyìn y?n níl???,Did you hear that news at home?,Interrogative,Q PRON VERB NOUN DET ADV,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V gb??) (NP (N ìròyìn) (DET y?n)) (PP (P níl??)))))),,,,Ques
W??n s? pé ?k?? òfurufú náà b?? sí il?? lónìí.,They said the airplane landed today.,Complex,PRON VERB COMP NOUN NOUN DET VERB PREP NOUN ADV,S ? NP VP CP,(IP (IP (VP (NP-SBJ (PRO W??n)) (VP (V s?) (CP (C pé) (IP (NP-SBJ (NP (N ?k?? òfurufú) (DET náà))) (VP (V b??) (PP (P sí) (NP (N il??))) (ADVP lónìí)))))))),,,,Embed
Báwo ni àjò náà rí?,How was the journey?,Interrogative,WH AUX NOUN DET VERB,S ? WH VP,(IP (CP (C Báwo) (IP (NP-SBJ (N àjò) (DET náà)) (VP (V rí)))))),,,,—
Ó dájú pé w??n máa f?w?? sí ìwé náà lónìí.,It is certain that they will sign the document today.,Complex,PRON ADJ COMP PRON AUX VERB PREP NOUN DET ADV,S ? NP VP CP,(IP (IP (VP (V Ó) (V dájú) (CP (C pé) (IP (NP-SBJ (PRO w??n)) (FUT máa) (VP (V f?w??) (PP (P sí) (NP (N ìwé) (DET náà))) (ADVP lónìí)))))))),,,,Embed
Àw?n olù?àkóso ? bá àw?n olùgbàgb?? sò?rò?.,The leaders are talking to the believers.,Simple,DET NOUN AUX PREP DET NOUN VERB,S ? NP VP,(IP (IP (VP (NP-SBJ (N Àw?n olù?àkóso)) (VP (V ?) (V bá) (NP (N àw?n olùgbàgb??)) (VP (V sò?rò?)))))),,,,—
?é o ti rí fíìmù tuntun y?n?,Have you seen that new movie?,Interrogative,Q PRON AUX VERB NOUN ADJ DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (ASP ti) (VP (V rí) (NP (N fíìmù) (ADJ tuntun) (DET y?n))))))),,,,Ques
Adé k?rin nípò tó péye.,Adé sang in a remarkable position.,Simple,NOUN VERB PREP NOUN REL ADJ,S ? NP VP,(IP (IP (VP (NP-SBJ (N Adé)) (VP (V k?rin) (PP (P nípò) (ADJ tó péye)))))),,,,—
Kí ló fa ìjà náà?,What caused the fight?,Interrogative,WH AUX VERB NOUN DET,S ? WH VP,(IP (CP (C Kí) (IP (VP (V ló) (NP (N fa ìjà) (DET náà))))))),,,,—
Ó j?un títí dí al??.,He ate until night.,Simple,PRON VERB PREP NOUN,S ? NP VP,(IP (IP (VP (V Ó) (V j?un) (ADVP títí dí al??))))),,,,—
Mo f?? kí o ?àlàyé ìdí náà.,I want you to explain that reason.,Complex,PRON VERB COMP PRON VERB NOUN DET,S ? NP VP CP,(IP (IP (VP (V Mo) (V f??) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V ?àlàyé) (NP (N ìdí) (DET náà)))))))),,,,Embed
Ìwé náà k? ìtàn ìdílé kan.,The book told a family story.,Simple,NOUN DET VERB NOUN NOUN NUM,S ? NP VP,(IP (IP (VP (NP-SBJ (N Ìwé) (DET náà)) (VP (NEG k??) (NP (N ìtàn) (NP (N ìdílé) (DET kan))))))),,,,—
?é w??n ti dá i??? tuntun náà síl???,Have they created that new job?,Interrogative,Q PRON AUX VERB NOUN ADJ DET ADV,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (ASP ti) (VP (V dá) (NP (N i??? tuntun) (DET náà)) (VP (V síl??))))))),,,,Ques
Ó w? a?? à?à Yorùbá gidi.,He wore good yoruba cultural cloth,Simple,PRON VERB NOUN NOUN NOUN ADJ,S ? NP VP,(IP (IP (VP (V Ó) (VP (V w?) (NP (N a??) (ADJ à?à Yorùbá) (ADJ gidi)))))),,,,—
"Tí mo bá ní à?fààní, máa k? ìwé míì.","If I have the opportunity, I will write another book.",,CONJ PRON AUX VERB NOUN PRON AUX VERB NOUN NUM,"S ? CP , S","(IP (CP (C Tí) (IP (NP-SBJ (PRO mo)) (VP (V bá) (V ní) (NP (N à?fààní)))) , (IP (FUT màá) (VP (V k?) (NP (N ìwé) (ADJ míì)))))))",,,,"Embed, Comp"
Ìròyìn náà dá àw?n aráàlú lójú pé ìyípadà ? b??.,The news convinced the citizens that change is coming.,Complex,NOUN DET VERB DET NOUN VERB COMP NOUN AUX VERB,S ? NP NP ,(IP (IP (VP (NP-SBJ (N Ìròyìn) (DET náà)) (VP (V dá) (NP (N àw?n aráàlú) (NP lójú) (CP (C pé) (IP (VP (V ìyípadà) (ASP ?) (V b??))))))))),,,,—
?e ?m? náà dúdú?,Is the child dark,Interrogstive,Q NOUN NOUN ADJ,S ? Q NP VP,(IP (CP (C ?e) (IP (NP-SBJ (NP (N ?m?) (DET náà))) (ADJP dúdú))))),,,,Ques
Ibo lo wa?,Where are you?,Interrogative ,Q VERB NOUN ,S— Q VP NP,(IP (CP (C Ibo) (IP (VP (V lo) (NP (PRO wa))))))),,,,Ques
?j?? yìí máa rántí g??g?? bí ?j?? à?ey?rí,This day will be remembered as a day of success,Simple,NOUN DET AUX VERB PREP ADV,S ? NP VP,(IP (IP (VP (NP-SBJ (N ?j??) (DET yìí)) (VP (FUT máa) (V rántí) (ADVP g??g?? bí) (NP (N ?j??) (ADJ à?ey?rí))))))),,,,—
W??n k??k?? s??r?? nípa ààbò il?? wa,They first spoke about the security of our land,Simple,PRON ADV VERB PREP NOUN NOUN PRON,S ? NP VP,(IP (IP (VP (NP-SBJ (N W??n)) (VP (ASP k??k??) (V s??r??) (PP (P nípa) (NP (N ààbò) (NP (N il?? wa)))))))),,,,—
?é o gbà pé i??? náà dára,Do you agree that the work is good,Interrogative,Q PRON VERB COMP NOUN DET ADJ,S ? Q NP VP CP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V gbà) (CP (C pé) (IP (NP-SBJ (NP (N i???) (DET náà))) (VP (V dára)))))))),,,,"Embed, Ques"
Ilé ìwé tuntun yìí ní ohun èlò amáyéd?rùn,This new school has modern facilities,Simple,NOUN NOUN ADJ DET VERB NOUN NOUN,N S ? NP VP,(IP (IP (VP (NP-SBJ (N Ilé ìwé tuntun) (DET yìí)) (VP (V ní) (NP (N ohun èlò) (ADJ amáyéd?rùn))))))),,,,—
Mo ti gb?? ìròyìn pé w??n f?? k? ojú-??nà tuntun,I have heard the news that they want to build a new road,Complex,PRON AUX VERB NOUN COMP PRON VERB VERB NOUN ADJ,S ? NP VP CP,(IP (IP (VP (V Mo) (V ti) (VP (V gb??) (NP (N ìròyìn) (CP (C pé) (IP (NP-SBJ (PRO w??n)) (VP (V f??) (VP (V k?) (NP (N ojú-??nà tuntun)))))))))))),,,,Embed
Ó dájú pé àj? náà ti b??r?? i???,It is certain that the organization has started work,Complex,PRON ADJ COMP NOUN DET AUX VERB NOUN,S ? NP VP CP,(IP (IP (VP (V Ó) (V dájú) (CP (C pé) (IP (NP-SBJ (NP (N àj?) (DET náà))) (ASP ti) (VP (V b??r??) (NP (N i???)))))))),,,,Embed
Àw?n ará ilé náà ? ?e àj?y? ay?y? ìbí,The family members are celebrating a birthday,Simple,DET NOUN NOUN DET AUX VERB NOUN NOUN,S ? NP VP,(IP (IP (VP (NP-SBJ (N Àw?n ará ilé) (DET náà)) (VP (V ?) (V ?e) (NP (N àj?y?) (NP (N ay?y? ìbí))))))),,,,—
?e w??n f?? kópa nínú ìpade ?j?? kejì,Will they participate in the second day’s meeting,Interrogative,Q PRON VERB VERB PREP NOUN NOUN NUM,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (V f??) (V kópa) (PP (P nínú) (NP (N ìpade) (NP (N ?j?? kejì))))))))),,,,Ques
A kò lè fi ìfaradà síl??,We cannot abandon patience,Simple,PRON NEG AUX VERB NOUN ADV,S ? NP VP,(IP (IP (VP (NEG A) (V lè) (VP (V fi) (NP (N ìfaradà)) (V síl??)))))),,,,—
Ó j?? pé ì???l?? náà ?e pàtàkì púp??,It is that the incident was very important,Complex,PRON AUX COMP NOUN DET VERB ADJ ADV,S ? NP VP CP,(IP (IP (VP (V Ó) (V j??) (CP (C pé) (IP (NP-SBJ (NP (N ì???l??) (DET náà))) (VP (V ?e) (ADJP pàtàkì) (ADVP púp??))))))),,,,Embed
"Tí òjò bá r??, àwa ò ní l? sí ?jà","If it rains, we will not go to the market",Complex,CONJ NOUN AUX VERB PRON NEG AUX VERB PREP NOUN,"S ? CP , S","(IP (CP (C Tí) (IP (NP-SBJ (NP (N òjò))) (VP (V bá) (V r??)))) , (IP (NP-SBJ (PRO àwa)) (VP (NEG ò) (VP (V ní) (VP (V l?) (PP (P sí) (NP (N ?jà))))))))))",,,,"Embed, Comp"
Àw?n oló?èlú pàdé níbi ìpade àj?,The politicians met at the association’s meeting,Simple,DET NOUN VERB PREP NOUN NOUN,S ? NP VP,(IP (IP (VP (NP-SBJ (N Àw?n oló?èlú)) (VP (V pàdé) (PP (P níbi) (NP (N ìpade àj?))))))),,,,—
Kí ló dé tí o fi ké,Why are you shouting,Interrogative,WH AUX VERB COMP PRON VERB,S ? WH VP,"(IP (CP (C Kí) (IP (VP (V ló) (NP (N dé) (, tí) (PRO o) (VP (V fi) (NP (PRO ké)))))))))",,,,—
A gb?? pé fíìmù tuntun yìí ti ?????? jáde,We heard that this new movie has just been released,Complex,PRON VERB COMP NOUN ADJ DET AUX ADV VERB,S ? NP VP CP,(IP (IP (VP (V A) (VP (V gb??) (NP (N pé) (NP (N fíìmù) (ADJ tuntun) (DET yìí))) (VP (ASP ti) (V ??????) (V jáde))))))),,,,Embed
Ilé ìj?sìn náà kún fún àw?n olùj??sìn,The church was full of worshippers,Simple,NOUN NOUN DET VERB PREP DET NOUN,S ? NP VP,(IP (IP (VP (NP-SBJ (N Ilé ìj?sìn) (DET náà)) (VP (V kún) (PP (P fún) (NP (N àw?n olùj??sìn))))))),,,,—
?e w??n gbà láti dá ètò tuntun síl??,Did they agree to create a new plan,Interrogative,Q PRON VERB PREP PREP NOUN ADJ ADV,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (V gbà) (PP (P láti) (VP (V dá) (NP (N ètò tuntun) (VP (V síl??))))))))),,,,Ques
Àwa gb?? orin ìbíl?? ní ay?y? náà,We heard a traditional song at the ceremony,Simple,PRON VERB NOUN NOUN PREP NOUN DET,S ? NP VP,(IP (IP (VP (NP-SBJ (PRO Àwa)) (VP (V gb??) (NP (N orin ìbíl??)) (PP (P ní) (NP (N ay?y?) (DET náà))))))),,,,—
Ó y? kí ìj?ba ?e ìt??nis??nà tuntun,The government should make new guidelines,Simple,PRON AUX COMP NOUN VERB NOUN ADJ,S ? NP VP,(IP (IP (VP (V Ó) (VP (V y?) (CP (C kí) (IP (NP-SBJ (N ìj?ba)) (VP (V ?e) (NP (N ìt??nis??nà tuntun))))))))),,,,—
A f?? kí gbogbo ?m? ilé ?e àfihàn,We want all the students to perform,Complex,PRON VERB COMP DET NOUN NOUN VERB,S ? NP VP CP,(IP (IP (VP (V A) (VP (V f??) (NP (N kí gbogbo ?m? ilé)) (VP (V ?e) (NP (N àfihàn))))))),,,,Embed
?é o ti wò àwòrán tuntun náà,Have you seen the new picture,Interrogative,Q PRON AUX VERB NOUN ADJ DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V ti) (VP (V wò) (NP (N àwòrán tuntun) (DET náà))))))),,,,Ques
?k?? ay??k??l?? náà dà bí tuntun,The car looks new,Simple,NOUN NOUN DET VERB COMP ADJ,S ? NP VP,(IP (IP (VP (NP-SBJ (N ?k?? ay??k??l??)) (DET náà)) (VP (V dà) (ADJP bí tuntun))))),,,,—
Ó dájú pé w??n ní àfojúsùn kedere,It is certain that they have a clear goal,Complex,PRON ADJ COMP PRON AUX NOUN ADJ,S ? NP VP CP,(IP (IP (VP (V Ó) (V dájú) (CP (C pé) (IP (NP-SBJ (PRO w??n)) (VP (V ní) (NP (N àfojúsùn kedere)))))))),,,,Embed
A kò m? bí a ?e lè ?e e,We do not know how we can do it,Complex,PRON NEG VERB CONJ PRON AUX AUX VERB PRON,S ? NP VP CP,(IP (IP (VP (NEG A) (V kò) (VP (V m?) (CP (C bí) (IP (NP-SBJ (PRO a)) (VP (V ?e) (NP (N e))))))))),,,,Embed
Ilé ìtura náà ti ?í sí gbogbo ènìyàn,The hotel is now open to everyone,Simple,NOUN NOUN DET AUX VERB PREP DET NOUN,S ? NP VP,(IP (IP (VP (NP-SBJ (N Ilé ìtura) (DET náà)) (VP (ASP ti) (V ?í) (PP (P sí) (NP (NP (PRO gbogbo ènìyàn)))))))),,,,—
?é w??n ti f?w?? sí ìpinnu tuntun náà,Have they approved the new decision,Interrogative,Q PRON AUX VERB PREP NOUN ADJ DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (ASP ti) (VP (V f?w??) (PP (P sí) (NP (N ìpinnu tuntun) (DET náà))))))),,,,Ques
